Sentence Stem ,Completion (lowercase)
The children ran outside to,play
On Valentine’s Day the woman received a single red,rose
The princess would someday become a,queen
The Parkers’ baby could already say three,words
The grandmother left everything to her son in her,will
The fluffy white clouds are high up in the,sky
To promote their album the band went on,tour
Katie put the flowers in an expensive,vase
The maid dusted the books on the,shelf
The birthday card was funny and made me,laugh
